bedrooms,bathrooms,square_footage,address,price
2,1,1057,"1255 S STATE Street 917 Chicago, IL 60605",309000.0
2,1,1156,"5360 N Lowell Avenue 206 Chicago, IL 60630",299000.0
3,2,1215,"10106 S VERNON Avenue Chicago, IL 60628",290000.0
3,2,1097,"9356 S Union Avenue Chicago, IL 60628",289000.0
3,3,1466,"8358 S Sangamon Street Chicago, IL 60620",289000.0
4,1,1440,"7643 S Paxton Avenue Chicago, IL 60649",259000.0
2,2,1250,"6517 N CALIFORNIA Avenue 303 Chicago, IL 60645",237000.0
3,1,1274,"8641 S Jeffery Boulevard Chicago, IL 60617",214900.0
3,2,1080,"7310 S Claremont Avenue Chicago, IL 60636",189900.0
4,3,1564,"2469 E 74th Street Chicago, IL 60649",90000.0
3,1,1130,"11712 S Troy Drive Merrionette Park, IL 60803",239900.0
5,3,3600,"4932 S Martin Luther King Drive Chicago, IL 60615",914000.0
1,1,1224,"340 E RANDOLPH Street 905 Chicago, IL 60601",750000.0
3,2,3000,"4920 N WHIPPLE Street 1 Chicago, IL 60625",750000.0
3,2,1700,"2448 N Clybourn Avenue 2 Chicago, IL 60614",699000.0
3,2,2694,"645 W Bittersweet Place 1 Chicago, IL 60613",645000.0
2,2,1550,"360 E RANDOLPH Street 1208 Chicago, IL 60601",599500.0
2,2,1500,"345 N Canal Street 608 Chicago, IL 60606",520000.0
2,2,1300,"233 E 13TH Street 1209 Chicago, IL 60605",514000.0
1,1,760,"234 W Polk Street 3107 Chicago, IL 60607",467500.0
4,2,2000,"4109 N Ottawa Avenue Norridge, IL 60706",425000.0
4,3,2075,"3529 S 54th Avenue Cicero, IL 60804",424500.0
1,1,821,"600 N Fairbanks Court 1306 Chicago, IL 60611",414999.0
1,1,1000,"111 E Chestnut Street 34J Chicago, IL 60611",400000.0
5,2,1150,"6111 W Byron Street Chicago, IL 60634",347000.0
4,2,1315,"3604 W 65th Place Chicago, IL 60629",329900.0
3,3,2300,"7437 S Merrill Avenue Chicago, IL 60649",323900.0
3,2,1500,"9348 S Green Street Chicago, IL 60620",319900.0
3,2,1275,"1134 W 104th Street Chicago, IL 60643",279000.0
5,2,1994,"11125 S Fairfield Avenue Chicago, IL 60655",264873.0
3,2,1186,"9018 S Brandon Avenue Chicago, IL 60617",237000.0
3,2,1163,"14116 S Hoxie Avenue Burnham, IL 60633",229999.0
1,1,600,"4880 N Marine Drive 606 Chicago, IL 60640",179900.0
